Pending Schedule
Pending Dispatch
Pending Vendor Acceptance
Scheduled
On Site
Pending Vendor Quote
Vendor Quote Submitted
Pending Client Approval
Client Quote Rejected
Client Quote Approved
Return Trip Needed
Work Complete Pending Vendor Invoice
Vendor Invoice Received
Pending Invoice Approval
Vendor Invoice Rejected
Completed And Invoiced
Vendor Paid
Closed
Resolved Without Invoice
Resolved Without Dispatch
Cancelled
Work Order Avoidance
Pending Self-Help Approval
Self-Help Approved
Deferred
Landlord Resolved
Vendor Quote Rejected
Self-Help Rejected
Billed - In Progress
Billed
Missed
Rescheduled
Completed
Pay to Affiliate
Expired
Void
Log Refusal
Service Pool
Pending Invoice Tax
