Variable Refrigerant Flow (VRF)
Provide Quote for Floor Cleaning
Provide Quote for Window Cleaning
Provide Quote for Janitorial Cleaning
Vacant Inspection
Lockout
Access Issue
Routine Service Needed
TR - Trip Charge
TR - Trip Charge
Hand Dryers
Light Switch
Not Working
New Outlet Install
Damaged/Repair
New Add
Replacement
Replacement
Replacement
Winterization Package
Utilities Activation
SR Lock Install
QC Check
HVAC Package
Turn Package
Post Notice
Occupancy Check
Rental Registration Inspection
Customer Requested Survey
Customer Requested Survey
Front Door OD Decal
Exterior Signage Maintenance
Plumbing Materials
Asset Data Capture
Community Inspection
Install/Repair
Home Safety Check
Enhance Strip and Wax Night 5
Enhance Strip and Wax Night 4
Install Crown Molding
Stain deck/fence
Remove/Install Wallpaper
Broken/Damaged
Install closet system
Babyproof installation
Fixture Repair/Maintenance
Install New
Install wall fixture
Install TV Wall Mount
Assemble Furniture
Staffing Fee
Not Covered under FPP
Emergency Capital
Emergency Capital
Repair
Repair
Repair
Repair
Repair
Repair
Repair
Repair
Repair
Found on PM
Full Protection Program
Found on PM/Capital Request
Whole House Drywall Repairs - Medium
Whole House Drywall Repairs - Light
Whole House Drywall Repairs - Heavy
Water Heater Permit
Turn Package (Second Avenue)
Service Roof - Tile
Service Roof - Shingle
Secure Damaged Door/Window
Roof Permit
Repoint Brick Wall/Siding
Repair Ungrounded Outlet
Repair Fiberglass Chip
"Repair Drywall - Up to 6""x6"""
Rent/Procure Scaffolding/Lift
Reno Package (Second Avenue)
Reinstall Door
Reglaze Sliding Glass Door Pane
Recode Keypad Lock
Procure Washer - Top Load (White)
Procure Refrigerator - Top Freezer (Stainless)
Procure Refrigerator - Top Freezer (Black/White)
Procure Refrigerator - Side By Side (Stainless)
Procure Refrigerator - Side By Side (Black/White)
Procure Range Hood - Under Cabinet Convertible (Stainless)
Procure Range Hood - Under Cabinet Convertible (Black/White)
Procure Microwave - Over The Range (Stainless)
Procure Microwave - Over The Range (Black/White)
Procure Freestanding Range - Smooth Top Electric (Stainless)
Procure Freestanding Range - Smooth Top Electric (Black/White)
Procure Freestanding Range - Gas (Stainless)
Procure Freestanding Range - Gas (Black/White)
